title,release_date,release_year,revenue,genres
The Contender,2000-10-13,2000,0,"['Drama', 'Thriller']"
Life,1999-04-16,1999,73521587,"['Comedy', 'Crime']"
North to Alaska,1960-11-07,1960,0,['Western']
Life Stinks,1991-07-26,1991,0,['Comedy']
Hondo,1953-11-25,1953,0,['Western']
Talk to Me,2007-07-13,2007,4778376,['Drama']
Charlie Wilson's War,2007-12-19,2007,119000410,"['Comedy', 'Drama', 'History']"
Idle Hands,1999-04-30,1999,4152230,"['Thriller', 'Comedy', 'Horror']"
27 Dresses,2008-01-10,2008,160259319,"['Comedy', 'Romance']"
Mail To The Chief,2000-04-02,2000,0,"['Comedy', 'Family']"
Walk Hard: The Dewey Cox Story,2007-12-21,2007,18317151,"['Comedy', 'Music']"
The Jayhawkers!,1959-10-15,1959,0,"['Action', 'Western']"
Underdog,2007-08-03,2007,65270477,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Dancing with Danger,1994-04-22,1994,0,['Thriller']
The Wonderful Country,1959-10-21,1959,0,['Western']
Lars and the Real Girl,2007-10-12,2007,11293663,"['Comedy', 'Drama', 'Romance']"
Sabrina,1954-09-28,1954,10000000,"['Comedy', 'Drama', 'Romance']"
The Peacemaker,1997-09-26,1997,0,"['Action', 'Thriller']"
National Treasure: Book of Secrets,2007-12-13,2007,457363168,"['Action', 'Adventure', 'Mystery', 'Thriller']"
Love in the Time of Cholera,2007-10-04,2007,4607608,"['Drama', 'Romance']"
The Unforgiven,1960-01-01,1960,0,"['Romance', 'Western', 'Drama']"
El Dorado,1966-12-17,1966,6000000,['Western']
Treasure Island,1950-07-18,1950,0,"['Adventure', 'Family']"
UFOria,1985-10-01,1985,0,"['Comedy', 'Science Fiction']"
The Cure,1995-04-21,1995,0,"['Drama', 'Family']"
The Rookie,1990-12-06,1990,21633874,"['Action', 'Crime', 'Drama', 'Thriller']"
Zathura: A Space Adventure,2005-11-06,2005,64321501,"['Family', 'Fantasy', 'Science Fiction', 'Adventure']"
The Ten Commandments,1956-10-05,1956,122700000,"['Drama', 'History']"
Cry of the Innocent,1980-06-19,1980,0,"['Action', 'Crime', 'Drama', 'Thriller']"
Failure to Launch,2006-03-10,2006,128406887,['Comedy']
Homeward Bound: The Incredible Journey,1993-02-03,1993,0,"['Adventure', 'Comedy', 'Drama', 'Family']"
Two-Minute Warning,1976-11-12,1976,0,"['Action', 'Thriller']"
Evil Alien Conquerors,2003-12-03,2003,0,"['Comedy', 'Science Fiction']"
The Gate,1987-04-21,1987,0,"['Horror', 'Fantasy']"
One Missed Call,2008-01-04,2008,26,"['Horror', 'Mystery', 'Thriller']"
Miracle on Ice,1981-03-01,1981,0,"['Drama', 'Family']"
The Village,2004-07-30,2004,256697520,"['Drama', 'Mystery', 'Thriller']"
The Woods,2006-09-25,2006,0,"['Mystery', 'Horror', 'Thriller']"
"What's Up, Doc?",1972-03-09,1972,0,"['Comedy', 'Romance']"
Outbreak,1995-03-10,1995,189859560,"['Action', 'Drama', 'Science Fiction', 'Thriller']"
Turner & Hooch,1989-07-28,1989,71079915,"['Action', 'Comedy', 'Thriller', 'Crime', 'Family']"
Samaritan: The Mitch Snyder Story,1986-05-19,1986,0,['Drama']
The 40 Year Old Virgin,2005-08-11,2005,109449237,"['Comedy', 'Romance']"
"Walker, Texas Ranger Trial by Fire",2005-10-16,2005,0,"['Action', 'Thriller']"
The Wedding Date,2005-02-04,2005,47175038,"['Comedy', 'Romance']"
The Weather Man,2005-10-20,2005,12482775,"['Comedy', 'Drama']"
Something's Gotta Give,2003-12-12,2003,266728738,"['Drama', 'Comedy', 'Romance']"
The White Dawn,1974-07-21,1974,0,"['History', 'Adventure', 'Drama']"
"Jesus, Mary and Joey",2006-01-01,2006,0,"['Comedy', 'Drama', 'Romance']"
Harlow,1965-06-23,1965,0,['Drama']
Australia,2008-11-18,2008,49554002,"['Adventure', 'Drama', 'Romance']"
In the Valley of Elah,2007-08-31,2007,29541790,"['History', 'Drama', 'Thriller', 'Crime', 'Mystery']"
The Angry Red Planet,1959-11-23,1959,0,"['Adventure', 'Science Fiction']"
No Country for Old Men,2007-11-08,2007,171600000,"['Crime', 'Drama', 'Thriller']"
Big Trouble in Little China,1986-05-30,1986,11000000,"['Action', 'Adventure', 'Comedy', 'Fantasy']"
Horse Sense,1999-11-20,1999,0,['Drama']
The Crooked Hearts,1972-11-08,1972,0,['Comedy']
Home Movies,1980-05-16,1980,0,['Comedy']
White Noise 2: The Light,2007-01-05,2007,0,"['Thriller', 'Drama', 'Horror', 'Fantasy']"
Rising Sun,1993-07-30,1993,107198790,"['Action', 'Drama', 'Thriller']"
Making Contact,1985-11-21,1985,0,"['Science Fiction', 'Fantasy', 'Horror', 'Adventure']"
The Day After,1983-11-20,1983,0,"['TV Movie', 'Science Fiction', 'Drama']"
American Heart,1992-03-17,1992,0,"['Crime', 'Drama']"
Christmas in Boston,2005-12-14,2005,0,"['Comedy', 'Drama', 'Romance']"
Ken Park,2002-08-31,2002,447741,['Drama']
Vampire's Kiss,1988-09-17,1988,725131,"['Comedy', 'Horror']"
Van Helsing: The London Assignment,2004-05-11,2004,0,"['Action', 'Animation', 'Fantasy', 'Horror']"
Jack,1996-08-09,1996,58620973,"['Comedy', 'Drama', 'Science Fiction']"
Van Helsing,2004-05-05,2004,300257475,"['Horror', 'Adventure', 'Action']"
Fire From Below,2009-01-01,2009,0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
Deadly Obsession,2012-10-25,2012,0,['Horror']
RISEN,2008-11-21,2008,0,['Horror']
Dusk,2008-01-01,2008,0,['Horror']
Venom,2005-09-16,2005,0,"['Horror', 'Thriller']"
Perfect Stranger,2007-04-12,2007,73090611,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Cloverfield,2008-01-15,2008,170764026,"['Action', 'Thriller', 'Science Fiction']"
The Forgotten,1989-04-26,1989,0,"['Action', 'Thriller']"
Dan in Real Life,2007-10-26,2007,68377859,"['Comedy', 'Romance', 'Drama']"
Coach Carter,2005-01-14,2005,76669806,['Drama']
Vendetta II: The New Mafia,1993-11-28,1993,0,"['Crime', 'Drama', 'Thriller']"
The Punisher,2004-04-15,2004,54700105,"['Action', 'Crime', 'Drama']"
Airport '77,1977-03-11,1977,30000000,"['Action', 'Adventure', 'Drama', 'Thriller']"
Rebound,2005-07-01,2005,16809014,"['Comedy', 'Family']"
Wizards of the Lost Kingdom,1985-10-01,1985,0,"['Action', 'Adventure', 'Fantasy']"
Wizards of the Lost Kingdom II,1989-03-01,1989,0,"['Action', 'Fantasy']"
Futurama: Bender's Big Score,2007-11-27,2007,0,"['Animation', 'Comedy', 'Science Fiction']"
Nabonga,1944-01-25,1944,0,['Adventure']
Space Raiders,1983-07-01,1983,0,"['Action', 'Adventure', 'Science Fiction']"
Matchstick Men,2003-09-01,2003,65565672,"['Comedy', 'Drama', 'Crime', 'Thriller']"
Meet the Spartans,2008-01-24,2008,84646831,['Comedy']
Search for the Jewel of Polaris: Mysterious Museum,1999-12-21,1999,0,"['Fantasy', 'Family']"
Duplex,2003-09-26,2003,19322135,['Comedy']
Seven Mummies,2006-07-18,2006,0,"['Action', 'Adventure', 'Horror', 'Thriller']"
8MM 2,2005-11-22,2005,0,"['Thriller', 'Mystery', 'Drama']"
Equilibrium,2002-12-06,2002,5359645,"['Action', 'Science Fiction', 'Thriller']"
One Fine Day,1996-12-20,1996,97529550,"['Comedy', 'Romance']"
Maid in Manhattan,2002-12-13,2002,154906693,"['Comedy', 'Drama', 'Romance']"
Running Scared,2006-01-06,2006,9500000,"['Action', 'Crime', 'Drama', 'Thriller']"
Alive,1993-01-15,1993,36733909,"['Action', 'Adventure', 'Drama', 'Thriller']"
Juno,2007-12-05,2007,231411584,"['Comedy', 'Drama', 'Romance']"
Carrie,1976-11-03,1976,33800000,"['Horror', 'Thriller']"
The Rage: Carrie 2,1999-03-11,1999,17762705,"['Horror', 'Thriller', 'Science Fiction']"
Carrie,2002-11-04,2002,0,"['TV Movie', 'Drama', 'Horror']"
There Will Be Blood,2007-12-28,2007,77208711,['Drama']
Robinson Crusoe on Mars,1964-06-01,1964,0,"['Drama', 'Science Fiction']"
The Bucket List,2007-12-25,2007,175372502,"['Drama', 'Comedy']"
Fireflies in the Garden,2008-02-10,2008,0,['Drama']
Sahara,2005-04-06,2005,119269486,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']"
Sleeping with the Enemy,1991-02-08,1991,174999005,"['Drama', 'Crime', 'Thriller']"
Brothers,2009-01-27,2009,43318349,"['Drama', 'Thriller', 'War']"
Tropic Thunder,2008-08-09,2008,188072649,"['Action', 'Comedy']"
Titan A.E.,2000-06-16,2000,36754634,"['Animation', 'Action', 'Science Fiction', 'Family', 'Adventure']"
xXx,2002-08-09,2002,277448382,"['Action', 'Adventure', 'Thriller']"
The Hitchhiker's Guide to the Galaxy,2005-04-28,2005,104478416,"['Adventure', 'Comedy', 'Family', 'Science Fiction']"
The Bunker,2001-09-14,2001,0,"['Action', 'History', 'Horror']"
Alpha Dog,2006-01-27,2006,15309302,"['Crime', 'Drama']"
Speed Racer,2008-05-09,2008,93945766,"['Action', 'Family', 'Science Fiction']"
Vantage Point,2008-02-01,2008,151161491,"['Drama', 'Action', 'Thriller', 'Crime']"
Open Season,2006-09-29,2006,197309027,"['Adventure', 'Comedy', 'Animation']"
Shooter,2007-03-22,2007,95696996,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']"
Knockaround Guys,2001-09-07,2001,12000000,"['Crime', 'Thriller']"
Harum Scarum,1965-11-24,1965,0,"['Comedy', 'Crime', 'Drama', 'Music', 'Romance']"
Running with Scissors,2006-10-27,2006,6754898,"['Drama', 'Comedy']"
The Last Kiss,2006-09-10,2006,0,"['Comedy', 'Drama', 'Romance']"
Idiocracy,2006-09-01,2006,495303,"['Adventure', 'Comedy', 'Science Fiction']"
London,2005-02-10,2005,0,"['Drama', 'Action', 'Romance']"
Smokin' Aces,2006-12-09,2006,57103895,"['Action', 'Comedy', 'Crime', 'Thriller']"
Over the Hedge,2006-04-22,2006,343397247,"['Comedy', 'Animation', 'Family']"
Cocktail,1988-07-29,1988,171504781,"['Drama', 'Romance']"
Come Early Morning,2006-01-10,2006,0,"['Drama', 'Romance']"
Fearless,2006-01-26,2006,6971266,"['Drama', 'Action']"
Déjà Vu,2006-11-22,2006,180557550,"['Action', 'Thriller', 'Science Fiction']"
Fun with Dick and Jane,2005-12-21,2005,202026112,['Comedy']
Waiting...,2005-10-07,2005,18637690,['Comedy']
The Cats of Mirikitani,2006-04-26,2006,0,['Documentary']
Rambo,2008-01-24,2008,0,"['Action', 'Thriller']"
Resident Evil: Extinction,2007-09-20,2007,148412065,"['Horror', 'Action', 'Science Fiction']"
Youth Without Youth,2007-10-26,2007,0,"['Fantasy', 'Drama', 'Mystery']"
The Time Shifters,1999-10-17,1999,0,"['Science Fiction', 'Thriller', 'Action']"
Wedding Daze,2006-09-09,2006,0,['Comedy']
"10,000 BC",2008-02-22,2008,266000000,"['Adventure', 'Action', 'Drama', 'Fantasy']"
Half Nelson,2006-08-11,2006,4911725,['Drama']
Outsourced,2006-09-12,2006,0,"['Comedy', 'Drama', 'Romance']"
Down in the Valley,2005-05-13,2005,852872,"['Drama', 'Romance']"
Side Effects,2005-03-07,2005,0,"['Comedy', 'Drama', 'Romance']"
Harsh Times,2005-09-11,2005,5967038,"['Crime', 'Drama', 'Thriller', 'Action']"
Black Snake Moan,2006-12-08,2006,10903846,['Drama']
Shine a Light,2008-02-07,2008,0,"['Documentary', 'Music']"
Before the Devil Knows You're Dead,2007-09-26,2007,25005257,"['Crime', 'Drama', 'Thriller']"
The Wolfman,2010-02-11,2010,0,"['Drama', 'Horror', 'Thriller', 'Fantasy']"
The Kite Runner,2007-10-14,2007,73276047,['Drama']
The Lovely Bones,2009-12-26,2009,93525586,"['Fantasy', 'Drama']"
Penelope,2006-03-01,2006,0,"['Fantasy', 'Comedy', 'Romance']"
The Island,1980-06-13,1980,0,"['Action', 'Adventure', 'Drama']"
Robin Hood: Men in Tights,1993-07-28,1993,35739755,['Comedy']
Behind Enemy Lines,2001-11-17,2001,91753202,"['Action', 'Drama', 'Thriller', 'War']"
Highlander,1986-03-06,1986,5900000,"['Adventure', 'Action', 'Fantasy']"
Get Shorty,1995-10-20,1995,115101622,"['Comedy', 'Thriller', 'Crime']"
Breakheart Pass,1975-12-25,1975,0,"['Thriller', 'Western', 'Mystery']"
Gigli,2003-08-01,2003,7266209,['Drama']
Punch-Drunk Love,2002-10-25,2002,17000000,"['Comedy', 'Drama', 'Romance']"
Hard Eight,1996-02-28,1996,222559,"['Drama', 'Thriller']"
The Three Burials of Melquiades Estrada,2005-11-17,2005,12036149,"['Adventure', 'Crime', 'Drama', 'Mystery', 'Western']"
The Reader,2008-12-10,2008,113019290,"['Drama', 'Romance']"
Married Life,2007-09-12,2007,0,"['Crime', 'Drama', 'Romance']"
21,2008-03-27,2008,69823199,"['Drama', 'Crime']"
Stay,2005-09-24,2005,8342132,"['Mystery', 'Thriller', 'Drama']"
A Life Less Ordinary,1997-10-24,1997,0,"['Fantasy', 'Drama', 'Comedy', 'Thriller', 'Science Fiction', 'Romance']"
Desperado,1995-08-25,1995,25405445,"['Thriller', 'Action', 'Crime']"
Barbarella,1968-10-10,1968,2500000,['Science Fiction']
Alien³,1992-05-22,1992,159773545,"['Science Fiction', 'Action', 'Horror']"
Alien: Resurrection,1997-11-12,1997,162000000,"['Science Fiction', 'Horror', 'Action']"
Suspect Zero,2004-08-27,2004,13000000,"['Crime', 'Thriller']"
Untraceable,2008-01-22,2008,32483410,"['Mystery', 'Thriller']"
This Boy’s Life,1993-04-09,1993,4104962,['Drama']
Cleopatra,1963-06-12,1963,71000000,"['Drama', 'History', 'Romance']"
Desperately Seeking Susan,1985-03-29,1985,27400000,['Comedy']
You Kill Me,2007-02-09,2007,2426851,"['Comedy', 'Crime', 'Thriller', 'Romance']"
Napoleon Dynamite,2004-06-11,2004,46118097,['Comedy']
A Guide To Recognizing Your Saints,2006-09-29,2006,516139,"['Crime', 'Drama']"
Ronin,1998-09-25,1998,70692101,"['Action', 'Thriller', 'Crime', 'Adventure']"
Midnight in the Garden of Good and Evil,1997-11-21,1997,25105255,"['Crime', 'Drama', 'Mystery', 'Thriller']"
The Quiet American,2002-11-22,2002,27674124,"['Romance', 'Thriller']"
Dreamland,2006-01-23,2006,0,"['Drama', 'Romance', 'Science Fiction']"
Æon Flux,2005-11-30,2005,52304001,"['Action', 'Science Fiction']"
The Spiderwick Chronicles,2008-02-14,2008,162839667,"['Adventure', 'Family', 'Fantasy']"
Alice,1990-12-25,1990,0,"['Comedy', 'Drama', 'Romance']"
8MM,1999-02-26,1999,96618699,"['Thriller', 'Crime', 'Mystery']"
Jumper,2008-02-10,2008,222231186,"['Adventure', 'Fantasy', 'Science Fiction']"
The Lookout,2007-03-09,2007,5367030,"['Crime', 'Drama', 'Thriller']"
Disturbia,2007-04-12,2007,117760134,"['Thriller', 'Drama', 'Mystery']"
The Savages,2007-01-19,2007,0,['Drama']
American Wedding,2003-08-01,2003,231449203,"['Comedy', 'Romance']"
American Pie Presents: Band Camp,2005-10-30,2005,0,['Comedy']
American Pie Presents: The Naked Mile,2006-12-07,2006,0,['Comedy']
American Pie Presents: Beta House,2007-12-10,2007,0,['Comedy']
The Limits of Control,2009-05-01,2009,0,"['Crime', 'Drama', 'Thriller', 'Mystery']"
The Spirit,2008-12-25,2008,39031337,"['Action', 'Comedy', 'Thriller', 'Crime', 'Science Fiction']"
A Midsummer Night's Sex Comedy,1982-07-16,1982,0,"['Comedy', 'Romance']"
Gorky Park,1983-12-15,1983,16175602,"['Thriller', 'Crime', 'Drama']"
Poetic Justice,1993-07-23,1993,27515786,"['Drama', 'Romance']"
Four Brothers,2005-08-11,2005,92374674,"['Action', 'Crime']"
The Countess,2009-02-09,2009,0,"['Drama', 'History', 'Horror']"
Chapter 27,2007-01-25,2007,0,['Drama']
In Bruges,2008-02-08,2008,34533783,"['Comedy', 'Drama', 'Crime']"
Fast Food Nation,2006-05-16,2006,0,"['Comedy', 'Drama', 'Thriller']"
Tiptoes,2003-09-08,2003,0,"['Comedy', 'Drama', 'Romance']"
Holes,2003-04-18,2003,0,"['Adventure', 'Family', 'Drama', 'Comedy']"
The Holy Mountain,1973-05-01,1973,0,['Drama']
Step Up 2: The Streets,2008-02-14,2008,150816700,"['Music', 'Drama', 'Romance']"
The Taking of Pelham One Two Three,1974-10-02,1974,0,"['Action', 'Crime']"
The Naked Man,1998-08-02,1998,0,"['Drama', 'Comedy']"
They Live,1988-11-23,1988,13008928,"['Action', 'Horror', 'Science Fiction', 'Thriller']"
Badland,2007-11-30,2007,0,['Drama']
My Big Fat Greek Wedding,2002-02-22,2002,368744044,"['Comedy', 'Drama', 'Romance']"
Thunderbolt and Lightfoot,1974-05-23,1974,21700000,"['Action', 'Adventure', 'Comedy', 'Crime']"
Ice Age: Dawn of the Dinosaurs,2009-06-29,2009,886686817,"['Animation', 'Comedy', 'Family', 'Adventure']"
An Affair to Remember,1957-07-11,1957,0,"['Drama', 'Romance']"
What the #$*! Do We (K)now!?,2004-04-23,2004,10000000,['Documentary']
Cast Away,2000-12-22,2000,429632142,"['Adventure', 'Drama']"
Kit Kittredge: An American Girl,2008-07-02,2008,0,"['Comedy', 'Drama', 'Family']"
Superbad,2007-08-17,2007,121463226,['Comedy']
Robin Hood: Prince of Thieves,1991-06-14,1991,390493908,['Adventure']
Lonesome Cowboys,1968-12-20,1968,0,['Western']
Transformers: Revenge of the Fallen,2009-06-19,2009,836297228,"['Science Fiction', 'Action', 'Adventure']"
The Boondock Saints,1999-01-22,1999,30471,"['Action', 'Thriller', 'Crime']"
Today You Die,2005-09-13,2005,0,"['Action', 'Adventure', 'Thriller']"
How High,2001-12-21,2001,31155435,['Comedy']
Airboss,1997-01-01,1997,0,"['Action', 'Thriller']"
¡Three Amigos!,1986-12-12,1986,0,"['Comedy', 'Western']"
"Definitely, Maybe",2008-02-08,2008,55447968,"['Comedy', 'Romance']"
The Hitcher,2007-01-19,2007,25399945,"['Action', 'Horror', 'Crime']"
Day of the Dead,1985-07-19,1985,34000000,"['Horror', 'Science Fiction']"
A Man Apart,2003-04-04,2003,44350926,"['Action', 'Drama']"
The Wild Blue Yonder,2005-09-05,2005,0,"['Drama', 'Science Fiction']"
Event Horizon,1997-08-15,1997,26673242,"['Horror', 'Science Fiction', 'Mystery']"
Interview,2007-01-20,2007,0,['Drama']
I Spy,2002-10-31,2002,33561137,"['Action', 'Adventure', 'Comedy', 'Thriller']"
Pump up the Volume,1990-08-22,1990,11,"['Music', 'Drama']"
Murder in the First,1995-01-20,1995,17381942,"['Crime', 'Drama', 'Thriller']"
Angels and Insects,1995-09-10,1995,0,"['Drama', 'Romance']"
The 6th Day,2000-11-17,2000,96085477,"['Mystery', 'Science Fiction', 'Action']"
Never Back Down,2008-03-04,2008,41627431,"['Drama', 'Action']"
Drillbit Taylor,2008-03-20,2008,0,['Comedy']
The Skulls II,2002-04-09,2002,0,"['Action', 'Comedy', 'Thriller']"
Funny Games,2007-10-20,2007,7938872,"['Crime', 'Horror', 'Thriller']"
Dumb and Dumber,1994-12-16,1994,247275374,['Comedy']
Highway 61,1991-09-05,1991,0,['Comedy']
Animal House,1978-07-27,1978,141000000,['Comedy']
John Q,2002-02-15,2002,102244770,"['Drama', 'Thriller', 'Crime']"
Wild Wild West,1999-06-29,1999,222104681,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']"
Hitch,2005-02-11,2005,368100420,"['Comedy', 'Drama', 'Romance']"
Ali,2001-12-11,2001,87713825,['Drama']
Borderline,1980-10-31,1980,0,"['Crime', 'Drama', 'Action']"
Weekend at Bernie's,1989-07-05,1989,30218387,['Comedy']
Weekend at Bernie's II,1993-07-09,1993,0,['Comedy']
Devil in a Blue Dress,1995-09-15,1995,16140822,"['Crime', 'Thriller', 'Drama']"
Superman II,1980-12-04,1980,190458706,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Dangerous Beauty,1998-02-20,1998,0,"['Drama', 'Romance']"
Shanghai Noon,2000-05-26,2000,56932305,"['Adventure', 'Action', 'Comedy', 'Western']"
My Beautiful Jinjiimaa,2008-03-04,2008,0,['Drama']
The Lion King,1994-06-23,1994,987483777,"['Family', 'Animation', 'Drama']"
Dick Tracy,1990-06-15,1990,103738726,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']"
Prom Night,2008-04-10,2008,14796236,"['Crime', 'Horror']"
Master and Commander: The Far Side of the World,2003-11-14,2003,212011111,['Adventure']
The Exorcism of Emily Rose,2005-09-09,2005,144216468,"['Crime', 'Drama', 'Horror', 'Thriller']"
The Happening,2008-06-11,2008,163403799,"['Thriller', 'Science Fiction']"
Bringing Out the Dead,1999-10-22,1999,0,['Drama']
Deep Impact,1998-05-08,1998,140464664,"['Action', 'Drama', 'Romance']"
K-19: The Widowmaker,2002-07-19,2002,35168966,"['Drama', 'History', 'War', 'Thriller']"
Charlie Bartlett,2008-02-22,2008,0,"['Comedy', 'Drama']"
My Best Fiend,1999-05-17,1999,0,['Documentary']
Orgazmo,1997-09-06,1997,0,['Comedy']
Fool's Gold,2008-02-07,2008,111231041,"['Romance', 'Comedy', 'Adventure']"
Taken,2008-02-18,2008,226830568,"['Action', 'Thriller']"
Snake Eyes,1998-08-07,1998,103891409,"['Crime', 'Mystery', 'Thriller']"
Sam Whiskey,1969-04-01,1969,0,"['Action', 'Comedy', 'Western']"
Calendar Girls,2003-09-02,2003,96542059,"['Drama', 'Comedy']"
The League of Extraordinary Gentlemen,2003-07-11,2003,179265204,"['Fantasy', 'Action', 'Thriller', 'Science Fiction']"
Anchorman: The Legend of Ron Burgundy,2004-07-09,2004,90574188,['Comedy']
Steel Chariots,1997-09-23,1997,0,['Drama']
Cast a Giant Shadow,1966-03-30,1966,0,"['War', 'Action', 'Drama', 'History']"
The Final Countdown,1980-01-31,1980,16647800,"['War', 'Action', 'Science Fiction']"
The Thin Red Line,1998-12-25,1998,98126565,"['Drama', 'History', 'War']"
Albino Alligator,1996-09-09,1996,0,"['Crime', 'Drama', 'Thriller']"
It Happened at the World's Fair,1963-04-03,1963,0,"['Comedy', 'Music', 'Romance']"
Top Secret!,1984-06-08,1984,20458340,['Comedy']
Hellraiser: Bloodline,1996-03-08,1996,16675000,"['Horror', 'Thriller', 'Science Fiction']"
Christine,1983-12-08,1983,21200000,['Horror']
Uncounted,2008-01-01,2008,0,['Documentary']
Mind Ripper,1995-10-08,1995,0,"['Horror', 'Science Fiction']"
Baby Mama,2008-04-23,2008,63833449,['Comedy']
Doom,2005-10-20,2005,55987321,"['Adventure', 'Action', 'Horror']"
Evita,1996-12-14,1996,141047179,"['History', 'Drama', 'Music']"
Timecop,1994-09-15,1994,101646581,"['Thriller', 'Science Fiction', 'Action', 'Crime']"
Conspiracy Theory,1997-08-07,1997,136982834,"['Action', 'Drama', 'Mystery', 'Thriller']"
Legally Blonde,2001-07-13,2001,141774679,['Comedy']
The X Files: I Want to Believe,2008-07-24,2008,68369434,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']"
Mercury Rising,1998-04-03,1998,0,"['Action', 'Crime', 'Drama', 'Thriller']"
Casper,1995-05-26,1995,287928194,"['Fantasy', 'Comedy', 'Family']"
DragonHeart,1996-05-31,1996,115267375,['Fantasy']
Against the Ropes,2004-02-20,2004,6614280,"['Romance', 'Drama']"
The Cell,2000-08-17,2000,104155843,"['Horror', 'Science Fiction', 'Thriller']"
Jumanji,1995-12-15,1995,262797249,"['Adventure', 'Fantasy', 'Family']"
Under Siege,1992-10-08,1992,156563139,"['Action', 'Thriller']"
Standard Operating Procedure,2008-02-12,2008,0,['Documentary']
The Bank Job,2008-02-28,2008,64822796,"['Thriller', 'Crime', 'Drama']"
Alfie,2004-10-22,2004,13395939,['Comedy']
The Shadow,1994-07-01,1994,48063435,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']"
The Blob,1958-09-12,1958,0,"['Horror', 'Science Fiction']"
Prince of Darkness,1987-10-23,1987,14182492,['Horror']
Steel,1997-08-15,1997,1686429,"['Science Fiction', 'Action', 'Adventure']"
"The Karate Kid, Part II",1986-06-18,1986,115103979,"['Adventure', 'Drama', 'Action', 'Romance', 'Family']"
"Dude, Where's My Car?",2000-12-15,2000,73180723,['Comedy']
Metro,1997-01-16,1997,31987563,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']"
The Truth About Cats & Dogs,1996-04-26,1996,0,"['Comedy', 'Romance']"
The Punisher,1989-10-05,1989,0,"['Action', 'Thriller']"
Eight Legged Freaks,2002-07-17,2002,0,"['Action', 'Comedy', 'Horror', 'Thriller']"
Red Planet,2000-11-10,2000,33463969,"['Thriller', 'Action', 'Science Fiction']"
How the Grinch Stole Christmas,2000-11-17,2000,345141403,"['Family', 'Comedy', 'Fantasy']"
Wayne's World,1992-02-14,1992,121697323,"['Music', 'Comedy']"
Wayne's World 2,1993-12-10,1993,47965000,"['Music', 'Comedy']"
My Best Friend's Wedding,1997-06-19,1997,299288605,"['Comedy', 'Romance']"
Timber Falls,2007-12-07,2007,0,"['Horror', 'Thriller']"
Pale Rider,1985-06-28,1985,41410568,"['Romance', 'Western']"
Che: Part Two,2009-01-24,2009,0,"['Drama', 'History', 'War']"
Che: Part One,2008-09-05,2008,0,"['Drama', 'History', 'War']"
Wanted,2008-06-19,2008,258270008,"['Action', 'Thriller', 'Crime']"
Pet Sematary,1989-04-21,1989,57469467,"['Drama', 'Horror']"
Deep Blue Sea,1999-07-28,1999,73648228,"['Action', 'Science Fiction', 'Thriller']"
Amelia,2009-10-22,2009,19258519,['Adventure']
Antz,1998-10-02,1998,171757863,"['Adventure', 'Animation', 'Comedy', 'Family']"
Garfield,2004-06-10,2004,200804534,"['Animation', 'Comedy', 'Family']"
Jeepers Creepers,2001-07-01,2001,59217789,"['Horror', 'Thriller']"
Green Street Hooligans,2005-09-09,2005,3154346,"['Crime', 'Drama']"
Afterschool,2008-05-18,2008,0,"['Drama', 'Mystery']"
Tyson,2008-05-16,2008,0,"['Documentary', 'Drama']"
Wendy and Lucy,2008-05-22,2008,0,['Drama']
What Just Happened,2008-10-17,2008,6673422,"['Comedy', 'Drama']"
I Love You Phillip Morris,2009-01-18,2009,20722843,"['Comedy', 'Drama', 'Romance']"
Reservation Road,2007-09-13,2007,0,"['Drama', 'Crime', 'Thriller']"
Hancock,2008-07-01,2008,624029371,"['Fantasy', 'Action']"
Bad Boys II,2003-07-18,2003,273339556,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']"
Crimson Tide,1995-05-12,1995,157387195,"['War', 'Action', 'Thriller']"
Atlantis: Milo's Return,2003-02-25,2003,0,"['Fantasy', 'Animation', 'Science Fiction', 'Family', 'Action']"
Twilight,2008-11-20,2008,392616625,"['Adventure', 'Fantasy', 'Drama', 'Romance']"
The Tree of Life,2011-05-18,2011,54674226,"['Drama', 'Fantasy']"
Boogeyman,2005-02-04,2005,67192859,"['Thriller', 'Horror', 'Drama', 'Mystery']"
The Out-of-Towners,1999-04-02,1999,29000000,['Comedy']
Lord of Illusions,1995-08-25,1995,0,"['Mystery', 'Horror', 'Thriller']"
The War of the Worlds,1953-08-13,1953,2000000,"['Science Fiction', 'Thriller']"
The Marine,2006-10-13,2006,22165608,"['Action', 'Adventure', 'Drama', 'Thriller']"
A Lot Like Love,2005-04-22,2005,42886719,['Comedy']
Assault on Precinct 13,2005-01-19,2005,35294470,['Thriller']
Disclosure,1994-12-09,1994,214015089,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']"
